Year,PRD,PCA
1991-92,55.6,178
1992-93,58,182
1993-94,60.6,186
1994-95,63.8,192
1995-96,66.2,195
1996-97,69.1,200
1997-98,72.1,205
1998-99,75.4,210
1999-00,78.3,214
2000-01,80.6,217
2001-02,84.4,222
2002-03,86.2,224
2003-04,88.1,225
2004-05,92.5,233
2005-06 ,97.1,241
2006-07,102.6,251
2007-08,107.9,260
2008-09,112.2,266
2009-10,116.4,273
2010-11,121.8,281
2011-12,127.9,290
2012-13,132.4,299
2013-14,137.7,307
2014-15,146.3,322
2015-16,155.5,337
2016-17,165.4,355
2017-18,176.3,375
2018-19,187.7,394
2019-20,198.4,406
